2024-04-16 02:02:53 status unpacked libkrb5-3:amd64 1.19.2-2
2024-04-16 02:02:53 install libkrb5support0:amd64 <none> 1.19.2-2
2024-04-16 02:02:53 status half-installed libkrb5support0:amd64 1.19.2-2
2024-04-16 02:02:53 status unpacked libkrb5support0:amd64 1.19.2-2
2024-04-16 02:02:53 install liblz4-1:amd64 <none> 1.9.3-2build2
2024-04-16 02:02:53 status half-installed liblz4-1:amd64 1.9.3-2build2
2024-04-16 02:02:53 status unpacked liblz4-1:amd64 1.9.3-2build2
2024-04-16 02:02:53 install liblzma5:amd64 <none> 5.2.5-2ubuntu1
2024-04-16 02:02:53 status half-installed liblzma5:amd64 5.2.5-2ubuntu1
2024-04-16 02:02:53 status unpacked liblzma5:amd64 5.2.5-2ubuntu1
2024-04-16 02:02:53 install libmount1:amd64 <none> 2.37.2-4ubuntu3
2024-04-16 02:02:53 status half-installed libmount1:amd64 2.37.2-4ubuntu3
2024-04-16 02:02:53 status unpacked libmount1:amd64 2.37.2-4ubuntu3
2024-04-16 02:02:53 install libncurses6:amd64 <none> 6.3-2
2024-04-16 02:02:53 status half-installed libncurses6:amd64 6.3-2
2024-04-16 02:02:53 status unpacked libncurses6:amd64 6.3-2
2024-04-16 02:02:53 install libncursesw6:amd64 <none> 6.3-2
2024-04-16 02:02:53 status half-installed libncursesw6:amd64 6.3-2
2024-04-16 02:02:53 status unpacked libncursesw6:amd64 6.3-2
2024-04-16 02:02:53 install libnsl2:amd64 <none> 1.3.0-2build2
2024-04-16 02:02:53 status half-installed libnsl2:amd64 1.3.0-2build2
2024-04-16 02:02:53 status unpacked libnsl2:amd64 1.3.0-2build2
2024-04-16 02:02:53 install libpam-modules:amd64 <none> 1.4.0-11ubuntu2
2024-04-16 02:02:53 status half-installed libpam-modules:amd64 1.4.0-11ubuntu2
2024-04-16 02:02:53 status unpacked libpam-modules:amd64 1.4.0-11ubuntu2
2024-04-16 02:02:53 install libpam-modules-bin:amd64 <none> 1.4.0-11ubuntu2
2024-04-16 02:02:53 status half-installed libpam-modules-bin:amd64 1.4.0-11ubuntu2
2024-04-16 02:02:53 status unpacked libpam-modules-bin:amd64 1.4.0-11ubuntu2
2024-04-16 02:02:53 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2024-04-16 02:02:53 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2024-04-16 02:02:53 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2024-04-16 02:02:53 install libpam0g:amd64 <none> 1.4.0-11ubuntu2
2024-04-16 02:02:53 status half-installed libpam0g:amd64 1.4.0-11ubuntu2
2024-04-16 02:02:53 status unpacked libpam0g:amd64 1.4.0-11ubuntu2
2024-04-16 02:02:53 install libpcre2-8-0:amd64 <none> 10.39-3build1
2024-04-16 02:02:53 status half-installed libpcre2-8-0:amd64 10.39-3build1
2024-04-16 02:02:53 status unpacked libpcre2-8-0:amd64 10.39-3build1
2024-04-16 02:02:53 install libpcre3:amd64 <none> 2:8.39-13build5
2024-04-16 02:02:53 status half-installed libpcre3:amd64 2:8.39-13build5
2024-04-16 02:02:53 status unpacked libpcre3:amd64 2:8.39-13build5
2024-04-16 02:02:53 install libprocps8:amd64 <none> 2:3.3.17-6ubuntu2
2024-04-16 02:02:53 status half-installed libprocps8:amd64 2:3.3.17-6ubuntu2
2024-04-16 02:02:53 status unpacked libprocps8:amd64 2:3.3.17-6ubuntu2
